series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
41380,100-man no Inochi no Ue ni Ore wa Tatteiru,TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38101,5-toubun no Hanayome,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39783,5-toubun no Hanayome ∬,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
49520,Aharen-san wa Hakarenai,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34881,Aho Girl,TV,12,0,12,2019-12-23,2019-12-23,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30123,Akagami no Shirayuki-hime,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
48553,Akebi-chan no Sailor-fuku,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41433,Akudama Drive,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49979,Akuyaku Reijou nanode Last Boss wo Kattemimashita,TV,0,0,2,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
22147,Amagi Brilliant Park,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
6547,Angel Beats!,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11111,Another,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
24833,Ansatsu Kyoushitsu,TV,22,0,22,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30654,Ansatsu Kyoushitsu 2nd Season,TV,25,0,25,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
9919,Ao no Exorcist,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11737,Ao no Exorcist Movie,Movie,1,0,1,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36882,Arifureta Shokugyou de Sekai Saikyou,TV,13,0,6,0000-00-00,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
14669,Aura: Maryuuin Kouga Saigo no Tatakai,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
5081,Bakemonogatari,TV,15,0,15,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40752,Bishounen Tanteidan,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
11633,Blood Lad,TV,10,0,10,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49596,Blue Lock,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40060,BNA,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
47917,Bocchi the Rock!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
31043,Boku dake ga Inai Machi,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31964,Boku no Hero Academia,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33486,Boku no Hero Academia 2nd Season,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36456,Boku no Hero Academia 3rd Season,TV,25,0,25,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38408,Boku no Hero Academia 4th Season,TV,25,0,25,2020-01-20,2020-04-04,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41587,Boku no Hero Academia 5th Season,TV,25,0,15,0000-00-00,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
10719,Boku wa Tomodachi ga Sukunai,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
14345,Btooom!,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50549,Bubble,ONA,1,0,1,0000-00-00,2022-05-25,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33475,Busou Shoujo Machiavellianism,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40256,Cannon Busters,ONA,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
232,Cardcaptor Sakura,TV,70,0,5,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
28999,Charlotte,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40960,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39523,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,TV,12,0,12,0000-00-00,2020-01-06,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
14741,Chuunibyou demo Koi ga Shitai!,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1575,Code Geass: Hangyaku no Lelouch,TV,25,0,25,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35756,Comic Girls,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38940,Cop Craft,TV,12,0,3,0000-00-00,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
16592,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
11843,Danshi Koukousei no Nichijou,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
35849,Darling in the FranXX,TV,24,0,7,0000-00-00,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
38656,Darwin's Game,TV,11,0,11,2020-03-24,2020-03-25,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
15583,Date A Live,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
19163,Date A Live II,TV,10,0,10,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1535,Death Note,TV,37,0,37,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28223,Death Parade,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
17513,Diabolik Lovers,TV,12,0,12,0000-00-00,0000-00-00,,2,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31163,Dimension W,TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37520,Dororo,TV,24,0,10,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
38691,Dr. Stone,TV,24,0,24,0000-00-00,2019-12-13,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50612,Dr. Stone: Ryuusui,Special,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40852,Dr. Stone: Stone Wars,TV,11,0,11,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37347,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
47164,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,TV,11,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
226,Elfen Lied,TV,13,0,13,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
51417,Engage Kiss,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
32901,Eromanga-sensei,TV,12,0,12,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36792,Eromanga-sensei OVA,OVA,2,0,2,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34662,Fate/Apocrypha,TV,25,0,25,2019-12-01,2020-01-02,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
120,Fruits Basket,TV,26,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
51212,Futoku no Guild,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
33731,Gabriel DropOut,TV,12,0,12,2020-01-05,2020-01-05,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37349,Goblin Slayer,TV,12,0,12,2020-01-06,2020-01-06,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
47160,Goblin Slayer 2nd Season,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39576,Goblin Slayer: Goblin's Crown,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
245,Great Teacher Onizuka,TV,43,0,22,0000-00-00,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
30721,Hacka Doll The Animation,TV,13,0,13,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37517,Happy Sugar Life,TV,12,0,12,2020-03-25,2020-04-02,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
48413,Hataraku Maou-sama!!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37141,Hataraku Saibou,TV,13,0,13,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41694,Hataraku Saibou Black,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39586,Hataraku Saibou!!,TV,8,0,8,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
48857,Healer Girl,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
42625,Heion Sedai no Idaten-tachi,TV,11,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
934,Higurashi no Naku Koro ni,TV,26,0,26,2020-01-08,2020-01-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
1889,Higurashi no Naku Koro ni Kai,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
3652,Higurashi no Naku Koro ni Rei,OVA,5,0,5,2020-01-10,2020-01-10,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22835,Himegoto,TV,13,0,13,0000-00-00,2020-01-04,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,TV,14,0,14,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,TV,10,0,10,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11061,Hunter x Hunter (2011),TV,148,0,148,2020-04-15,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42361,"Ijiranaide, Nagatoro-san",TV,12,0,12,0000-00-00,0000-00-00,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37497,Irozuku Sekai no Ashita kara,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,0,default,0
37210,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41623,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,TV,10,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
44524,Isekai Meikyuu de Harem wo,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
49220,Isekai Ojisan,TV,13,0,7,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
38472,Isekai Quartet,TV,12,0,12,2020-02-01,2020-02-02,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49438,Isekai Yakkyoku,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40010,Ishuzoku Reviewers,TV,12,0,12,2020-02-10,2020-03-30,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38790,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV,12,0,12,2020-02-05,2020-03-28,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
48753,Jahy-sama wa Kujikenai!,TV,20,0,20,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36906,Jashin-chan Dropkick,TV,11,0,5,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
48561,Jujutsu Kaisen 0 Movie,Movie,1,0,1,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
43691,Kageki Shoujo!!,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40750,Kaifuku Jutsushi no Yarinaoshi,TV,12,0,12,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34933,Kakegurui,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41312,Kami-tachi ni Hirowareta Otoko,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49109,Kami-tachi ni Hirowareta Otoko 2nd Season,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
41930,Kamisama ni Natta Hi,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
43969,Kanojo mo Kanojo,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40839,"Kanojo, Okarishimasu",TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
45613,Kawaii dake ja Nai Shikimori-san,TV,12,0,12,2022-04-14,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39326,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,TV,12,0,12,2021-05-05,2021-05-06,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32686,Keijo!!!!!!!!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38000,Kimetsu no Yaiba,TV,26,0,26,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
47778,Kimetsu no Yaiba: Yuukaku-hen,TV,11,0,11,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32281,Kimi no Na wa.,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
22535,Kiseijuu: Sei no Kakuritsu,TV,24,0,24,2020-02-01,2020-02-04,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37475,Kishuku Gakkou no Juliet,TV,12,0,12,2020-03-14,2020-03-24,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31798,Kiznaiver,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33206,Kobayashi-san Chi no Maid Dragon,TV,13,0,13,2020-02-06,2020-02-09,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39247,Kobayashi-san Chi no Maid Dragon S,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49893,Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon Desu,Special,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
28851,Koe no Katachi,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
48643,Koi wa Sekai Seifuku no Ato de,TV,12,0,12,2022-04-15,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
48926,"Komi-san wa, Comyushou desu.",TV,12,0,8,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
48742,"Kono Healer, Mendokusai",TV,12,0,12,2022-04-14,2022-04-14,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30831,Kono Subarashii Sekai ni Shukufuku wo!,TV,10,0,10,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,TV,10,0,10,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,1,0,1,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40974,Kuma Kuma Kuma Bear,TV,12,0,12,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
45486,Kuma Kuma Kuma Bear 2nd Season,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37984,"Kumo Desu ga, Nani ka?",TV,24,0,24,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50338,Kunoichi Tsubaki no Mune no Uchi,TV,13,0,13,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39017,Kyokou Suiri,TV,12,0,4,2020-02-12,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
18153,Kyoukai no Kanata,TV,12,0,2,2020-07-15,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
44276,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
17265,Log Horizon,TV,25,0,3,0000-00-00,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
39071,Machikado Mazoku,TV,12,0,12,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42745,Machikado Mazoku: 2-choume,TV,12,0,10,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
3572,Macross F,TV,25,0,25,2019-12-07,2019-12-07,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34599,Made in Abyss,TV,13,0,13,2020-01-22,2020-01-31,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41084,Made in Abyss: Retsujitsu no Ougonkyou,TV,12,0,5,0000-00-00,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
